91,714
91,498
0.0,0.0,182.0,182.0,119,46,42
182.0,0.0,156.0,130.0,221,222,226
338.0,0.0,416.0,130.0,47,184,233
182.0,130.0,156.0,416.0,221,222,226
338.0,130.0,182.0,338.0,221,222,226
520.0,130.0,156.0,52.0,50,50,50
676.0,130.0,78.0,364.0,221,222,226
0.0,182.0,182.0,416.0,221,222,226
520.0,182.0,156.0,104.0,221,222,226
520.0,286.0,156.0,312.0,221,222,226
338.0,468.0,182.0,130.0,221,222,226
676.0,494.0,78.0,260.0,50,50,50
182.0,546.0,156.0,52.0,60,70,246
0.0,598.0,182.0,156.0,221,222,226
182.0,598.0,338.0,156.0,221,222,226
520.0,598.0,156.0,156.0,60,70,246
