403,275
403, 78
0.0,0.0,52.0,442.0,50,50,50
52.0,0.0,234.0,104.0,221,222,226
286.0,0.0,52.0,156.0,50,50,50
338.0,0.0,130.0,156.0,221,222,226
468.0,0.0,52.0,156.0,50,50,50
520.0,0.0,234.0,156.0,221,222,226
52.0,104.0,234.0,156.0,221,222,226
286.0,156.0,234.0,286.0,221,222,226
520.0,156.0,78.0,234.0,221,222,226
598.0,156.0,156.0,146.0,221,222,226
52.0,260.0,234.0,182.0,221,222,226
598.0,302.0,156.0,140.0,47,184,233
520.0,390.0,78.0,208.0,50,50,50
0.0,442.0,208.0,312.0,60,70,246
208.0,442.0,78.0,312.0,50,50,50
286.0,442.0,234.0,312.0,221,222,226
598.0,442.0,104.0,156.0,221,222,226
702.0,442.0,52.0,156.0,50,50,50
520.0,598.0,234.0,156.0,221,222,226
