80,80
560,80
0.0,0.0,160.0,520.0,221,222,226
160.0,0.0,240.0,400.0,47,184,233
400.0,0.0,80.0,320.0,50,50,50
480.0,0.0,160.0,320.0,221,222,226
640.0,0.0,80.0,320.0,50,50,50
720.0,0.0,160.0,320.0,221,222,226
880.0,0.0,280.0,320.0,50,50,50
400.0,320.0,280.0,400.0,221,222,226
680.0,320.0,200.0,160.0,221,222,226
880.0,320.0,120.0,160.0,221,222,226
1000.0,320.0,160.0,600.0,221,222,226
160.0,400.0,240.0,120.0,221,222,226
680.0,480.0,200.0,320.0,221,222,226
880.0,480.0,120.0,320.0,50,50,50
0.0,520.0,400.0,80.0,50,50,50
0.0,600.0,400.0,160.0,221,222,226
400.0,720.0,160.0,520.0,221,222,226
560.0,720.0,120.0,520.0,50,50,50
0.0,760.0,160.0,480.0,60,70,246
160.0,760.0,240.0,80.0,50,50,50
680.0,800.0,120.0,120.0,221,222,226
800.0,800.0,200.0,120.0,50,50,50
160.0,840.0,80.0,400.0,50,50,50
240.0,840.0,160.0,240.0,47,184,233
680.0,920.0,200.0,320.0,221,222,226
880.0,920.0,280.0,200.0,119,46,42
240.0,1080.0,160.0,160.0,221,222,226
880.0,1120.0,280.0,120.0,221,222,226
